Organization Name,Mission Statement,Website Link 
Wilmington Area Humane Society,"The mission of WAHS, Inc. is to promote the welfare of dogs and cats and to nurture the human/animal bond.",n/a
Ohio CASA/GAL Association,"The Ohio CASA/GAL Association supports local volunteer CASA/GAL programs throughout Ohio with technical assistance, funding, and legislative support, so that they may advocate for abused, neglected, and dependent children in the court system.",http://www.ohiocasa.org
Shelby County CASA/GAL,"The mission of CASA is to speak for the best interests of abused and neglected children in the courts. We promote and support quality volunteer representation for children to provide each child a safe, permanent, nurturing home.",http://www.nationalcasa.org
Parma Animal Shelter,"Parma Animal Shelter Inc is an all-volunteer not-for-profit organized for the purpose of preventing abuse, cruelty and neglect of companion animals., educating the public about the importance of spay/neuter, increasing appreciation and understanding ...",http://www.parmashelter.org
The Wagnalls Memorial Foundation,"ENRICHING LIVES is the core purpose at The Wagnalls Memorial. We offer a community center, library, museum, and theatre with many kinds of opportunities and activities. Scholarships are also provided to area youth.",http://www.wagnalls.org
Portage Animal Protective League,"To rescue, shelter and find safe, loving homes for sick, injured, abused or abandoned animals while upholding and enforcing animal cruelty laws in Portage County, Ohio. Also to educate our community on the social responsiblity associated with pet own...",http://portageapl.org
National Museum of the USAF,"The National Museum of the United States Air Force collects, researches, conserves, interprets and presents the service's history, heritage and traditions as well as today's vision of global vigilance, reach and power to an international audience. Th...",http://www.nationalmuseum.af.mil
House of Bread,To nourish heart mind body and soul and be a bridge to other beneficial resources,n/a
Mason Health Care Center,"Mission: At Deaconess Long Term Care, Mason Health Care Center location, it is our mission to provide the highest quality of care to our residents and their families. This care is to be provided with dedication to spiritual values, customer service, ...",http://www.masonhealthcarecenter.com/
American Society on Aging,n/a,n/a
American Society on Aging,n/a,n/a
American Society on Aging,n/a,n/a
American Society on Aging,n/a,http://www.nwoalz.org
American Society on Aging,n/a,n/a
American Society on Aging,n/a,n/a
American Society on Aging,n/a,n/a
American Society on Aging,n/a,n/a
American Society on Aging,n/a,n/a
American Society on Aging,n/a,n/a
Volunteers of America,n/a,http://www.voa.org
Special Volunteer Programs,n/a,n/a
BENJAMIN ROSE INST SCP,n/a,http://benrose.org
Experience Corps,n/a,n/a
PORTAGE/STARK SCP,n/a,n/a
SUMMIT COUNTY FGP,n/a,n/a
DAYTON FGP,n/a,n/a
Ironton Office,n/a,n/a
CINCINNATI FGP,n/a,n/a
MONTGOMERY/GREENE CO'S RSVP,n/a,n/a
LUCAS COUNTY FGP,n/a,n/a
MEIGS RSVP,n/a,n/a
MARION & CRAWFORD CO'S RSVP,n/a,n/a
American Society on Aging,n/a,n/a
American Society on Aging,n/a,n/a
American Society on Aging,n/a,http://universitysettlement.net
American Society on Aging,n/a,n/a
American Society on Aging,n/a,n/a
American Society on Aging,n/a,n/a
American Society on Aging,n/a,n/a
American Society on Aging,n/a,n/a
American Society on Aging,n/a,n/a
American Society on Aging,n/a,n/a
American Society on Aging,n/a,n/a
National Council on Aging,n/a,http://www.ncoa.org
Big Brothers Big Sisters of America,n/a,http://www.bbbssmc.org
Big Brothers Big Sisters of America,n/a,n/a
Big Brothers Big Sisters of America,n/a,http://www.findlayoh.com/bigbrothers
Big Brothers Big Sisters of America,n/a,n/a
Big Brothers Big Sisters of America,n/a,http://www.bigbrobigsis.org
Big Brothers Big Sisters of America,n/a,http://www.geocities.com/knoxmorrow/BBBS.html
Big Brothers Big Sisters of America,n/a,n/a
Big Brothers Big Sisters of America,n/a,n/a
Big Brothers Big Sisters of America,n/a,n/a
Big Brothers Big Sisters of America,n/a,n/a
Big Brothers Big Sisters of America,n/a,n/a
Big Brothers Big Sisters of America,n/a,n/a
Big Brothers Big Sisters of America,n/a,http://www.bbbsmv.com
Big Brothers Big Sisters of America,n/a,n/a
Big Brothers Big Sisters of America,n/a,n/a
Big Brothers Big Sisters of America,n/a,http://www.bbbscoshco.org
Big Brothers Big Sisters of America,n/a,n/a
Big Brothers Big Sisters of America,n/a,n/a
Big Brothers Big Sisters of America,n/a,n/a
Big Brothers Big Sisters of America,n/a,n/a
Big Brothers Big Sisters of America,n/a,n/a
Children's Hospital,n/a,n/a
Big Brothers Big Sisters of America,n/a,http://www.frognet.net/~bbbs
Catholic Charities USA,n/a,http://www.rc.net/youngstown
"Common Senses, Inc.",n/a,http://www.clevelandscores.org
Kno-Ho-Co Ashland CAC,n/a,n/a
Learn Quest,n/a,n/a
Lutheran Services in America,n/a,n/a
Lutheran Services in America,n/a,http://www.stlukelutherancommunity.org
Main Street Harrison,n/a,http://www.shopharrison.org
Mayores Senior center,n/a,n/a
Medical University of Ohio at Toledo,n/a,http://www.meduohio.edu/depts/volunteer
National Association of Area Agencies on Aging,n/a,n/a
National Council on Aging,n/a,http://www.ncoa.org
National Council on Aging,n/a,http://www.ncoa.org
Child Welfare League,n/a,http://beechbrook.org
Child Welfare League,n/a,n/a
Environmental Alliance for Senior Involvement,n/a,n/a
Friendship Reading Center,n/a,n/a
Child Welfare League,n/a,http://applewoodcenters.orgc
Habitat for Humanity International,n/a,n/a
Habitat for Humanity International,n/a,http://www.daytonhabitat.org
Habitat for Humanity International,n/a,n/a
Habitat for Humanity International,n/a,http://www.gchfh.org
Habitat for Humanity International,n/a,http://local.habitat.org/tricounty
Foster Grandparents,n/a,n/a
"Services for Independent Living, Inc.",n/a,n/a
KNO HO CO RSVP,n/a,n/a
RSVP OF SPRINGFIELD/CLARK COUNTIES,n/a,n/a
Senior Net,n/a,n/a
Senior Net,n/a,n/a
Senior Net,n/a,n/a
Senior Net,n/a,n/a
Senior Net,n/a,n/a
Senior Net,n/a,n/a
Senior Net,n/a,n/a
Senior Net,n/a,n/a
Senior Net,n/a,n/a
Senior Net,n/a,n/a
Senior Net,n/a,http://www.areaofficeonaging.com
Senior Net,n/a,n/a
Arts Collinwood,We believe that a flourishing arts community enriches a neighborhood's quality of life both economically and culturally. It is our goal to support the artist's ability to earn a living a well as encourage education in the arts by offering a wide vari...,http://www.artscollinwood.org
Senior Net,n/a,n/a
forever friends foundation,"Forever Friends Foundation is a no-kill animal rescue organization. The foundation relies on volunteers, donations, fund-raisers and adoption fees to support itself. Founded in September 2003 Forever Friends has successfully found homes for over 220 ...",http://www.foreverfriendsfoundation.org
Candy Cane Christian Therapeutic Ranch,CCC is dedicated to helping the special needs adults and children of the mid-ohio valley.through giving them more self esteem and bringing out the talents God has given each and everyone of us.,n/a
Open Book Family Learning Center,n/a,http://www.morleylibrary.org
National Wildlife Federation,n/a,http://www.leagueofohiosportsmen.org
Northeast Ohio Medical Reserve Corps,n/a,http://www.neomrc.org
AmeriCorps*VISTA,n/a,n/a
Points of Light Foundation,n/a,http://www.brunswickfamily.org
Points of Light Foundation,n/a,http://www.coyfc.org
Points of Light Foundation,n/a,n/a
ODMR/DD FGP,n/a,http://odmrdd.state.oh.us/fgp
MT VERNON FGP,n/a,n/a
Easter Seals Northeast Ohio,Easter Seals' Mission is to create solutions that change lives of children and adults with disabilities or other special needs and their families.,http://eastersealsneo.org
CLEVELAND FGP,n/a,n/a
Cuyahoga Soil & Water Conservation District,"To promote conservation of land and aquatic resources in a developed environment through stewardship initiatives, education programs and technical assistance.",http://www.cuyahogaswcd.org
Legend Financial Group Classic,This event is part of the PGA Nationwide Tour.,http://legendfinancialgroupclassic.com
Unified Health Solutions,"Our Mission To promote health and well-being through education, prevention and intervention - and unite and strengthen community resources. Our Vision Unified Health Solutions will enhance the quality of life and health in the Greater Dayton area by ...",http://www.uhs-dayton.org
Duck and Otter Creeks Partnership,"The Duck and Otter Creeks Partnership promotes human and ecological health through education, protection and restoration of these watersheds with diverse collaborative efforts dedicated to building community stewardship.",http://www.dopartnership.org
Lorain County Heritage,"The mission of Lorain County Heritage, Inc. is to preserve, promote and provide education regarding Lorain County 's unique history, culture, arts and natural environment. Lorain County Heritage, Inc. encourages responsible travel to and inside Lorai...",http://www.visitloraincounty.com
Northeastern Local Schools,School and Community working together for student success.,http://www.nelsd.org/
Ohio Stonewall Democrats,"The Ohio Stonewall Democrats are devoted to secure equal rights for all people, regardless of sexual orientation or gender identity.",n/a
Toledo Walk for PKD,"The PKD Foundation is the only organization, worldwide, devoted to improving clinical treatment and discovering a cure for Polycystic Kidney Disease (PKD). Polycystic Kidney Disease is the most common genetic, life threatening disease affecting more ...",http://www.pkdcure.org
Juvenile Diabetes Research Foundation,The mission of JDRF is to find a cure for diabetes and its complications through the support of research.,http://www.jdrf.org/index.cfm?page_id=102690
Portage Democratic Coalition,"We witnessed a grass roots phenomena develop around the Kerry-Edwards campaign in Portage County that was nothing less than astonishing and certainly like nothing ever seen before in Portage County. When the election was over, we learned that ""Ohio w...",http://www.pdcohio.us
Akron Community Health Resources,"To provide the highest quality of preventative and restorative primary health care to its patients, regardless of the ability to pay.",http://www.achrhealth.com
Mercy Hospital Mt. Airy,Our Mission & Values Mercy Health Partners extends the healing ministry of Jesus by improving the health of our communities with emphasis on people who are poor and under-served. Our actions are guided by six cherished core values: Compassion: Our co...,n/a
The Vine Intervention,"The Vine Intervention has formalized a successful networking and referral intervention program bridging the gap between churches, local non-profits,governmental agencies and the people who need them. The overall mission of our organization is to prov...",http://www.thevineintervention.org
Greene County Children's Services Board,"Greene County Children Services Board, with the support of the community, provides family-centered services to protect children from abuse and neglect by building safe, permanent families.",http://www.greenecsb.org/home.htm
"Bridgeway, Inc.","Bridgeway is a dynamic, supportive community providing a network of mental health and recovery resources that enhances individual development and values the gifts and contributions of each person.",n/a
West Side Community House,West Side Community House,n/a
Boy Scouts Of America,The mission of the Boy Scouts of America is to prepare young people to make ethical and moral choices over their lifetimes by instilling in them the values of the Scout Oath and Law.,n/a
American Friends Service Committee,"The American Friends Service Committee is a practical expression of the faith of the Religious Society of Friends (Quakers). Committed to the principles of nonviolence and justice, it seeks in its work and witness to draw on the transforming power of...",http://www.afsc.net/
Elizabeth New Life Center,To empower individuals to achieve sexual integrity and make healthy choices respecting the value of each person created by God.,http://www.elizabethhelps.com
Newsreel Inc,Our mission is to be the most comprehensive single source of information to and about blind people,n/a
Youth4Youth,"> Vision - 2020 Youth4Youth will be currently active in 20,000 schools globally by the year 2020. Youth4Youth has changed education worldwide by helping each school building truly become an environment of support, respect, and safety for all, regardl...",n/a
Culture Works,Culture Works provides funds and services to strengthen the arts and culture in the Miami Valley.,http://www.cultureworks.org
Walk and Roll Cleveland,"Walk & Roll Cleveland is helping to make Cleveland an even better place to work, live, and play. Walk and Roll is held on MLK Blvd, which meanders through Cleveland's Rockefeller Park and the Cultural Gardens. The road is closed to motorized traffic ...",http://www.walkroll.com
National Autism Association of Northeast Ohio,The mission of the National Autism Association - Northeast Ohio is to give families who have a child or children diagnosed with Autism Spectrum Disorder the tools to locate and access necessary treatments. We will fulfill this mission by providing fi...,n/a
Ohio Association of Second Harvest Food Banks,Our organization is pleased to be a part of the CMS MedicareRx Volunteer Initiative to help people with Medicare get the assistance they may need to benefit from Medicare's new prescription drug coverage. Organizations and volunteers nationwide have ...,http://www.oashf.org
Keep Columbus Beautiful,Keep Columbus Beautiful is a community improvement program of the City of Columbus and an affiliate in good standing with Keep America Beautiful. KCB engages the community at the grass roots level promoting and encouraging neighborhood improvement ef...,http://WWW.KEEPCOLUMBUSBEAUTIFUL.ORG
CANTER of Ohio,CANTER Ohio is dedicated to providing Ohio's retiring thoroughbred racehorses opportunities for new careers after the finish line.,http://www.canterusa.org/ohio
WOSU Public Media,"The mission of WOSU Public Media is to enrich lives through programming and community services that educate, inform, entertain, and inspire.",http://wosu.org
Black Swamp Conservancy,To encourage conservation and protection of natural areas and farmland in northwest Ohio for the benefit of current and future generations,n/a
Big Brothers Big Sisters of East Central Ohio,"Big Brothers Big Sisters develops and nurtures quality relationships between children and volunteers to guide each child toward becoming a confident, competent, and caring adult.",http://bbbseco.com
CNDL4JC Furniture Ministry,"The Problem: People for a variety of reasons find themselves in need of furniture, appliances and/or other household items. There is a world of people who have items they no longer want or need and there is a world of people who have lots of needs--f...",http://www.cndl4jc.com
St. John's Lutheran Church & School,"To Joyfully & Boldly KNOW Jesus and each other, GROW to be like Him and SOW His love in Word & Deed.",http://www.stjohnsmarysville.org
AIDS Walk Cleveland,"Mission: The mission of the Dr. John T. Carey Memorial AIDS Walk is to raise funds for HIV/AIDS services, to build awareness of the disease, and to create a community to meet the needs of people living at risk of HIV/AIDS in the Greater Cleveland are...",n/a
Center for Human Development and Cultural Education,"CHDA CE is a non-profit, non-governmental organization with a vision of enhancing the lives of minorities through research, training, advocacy work, capacity building, and community development.",n/a
Joel's Place for Children,Joel's Place for Children provides grief support groups for children who have experienced the death of a family member.,n/a
"Parents, Families and Friends of Lesbians and Gays, Lima Chapter","To promote the health and well-being of gay, lesbian, bisexual, and transgendered persons, their families, and friends through: support, to cope with an adverse society; education, to enlighten an ill-informed public; and advocacy, to end discriminat...",http://www.geocities.com/pflag_lima
Pickaway County Literacy Council,The mission of the Pickaway County Literacy Council is to provide quality educational opportunities to adults for the improvement of basic skills and development of life-long learning and to encourage family and community involvement in education.,http://www.pickawayliteracy.com
The Global Center of Greater Cincinnati,"The World Affairs Council at the Global Center of Greater Cincinnati is a non-partisan organization which builds global understanding and promotes cross-cultural awareness of international affairs. We achieve this through education, briefings, and in...",n/a
Planned Parenthood of Greater Cleveland,"To promote family planning and assure reproductive self-determination for all individuals through advocacy, education, and health care services.",http://www.plannedparenthood.org
forging responsible youth,"Forging Responsible Youth serves a mission to educate, to motivate, and to inspire children of all ages to overcome their obstacles and to become happy and productive citizens.",http://www.forgingresponsibleyouth.org
Ohio Community Development Finance Fund,"The Ohio Community Development Finance Fund is a private, nonprofit corporation which serves locally created and controlled community based development organizations across the State of Ohio. In order to improve the quality of life in neighborhoods a...",http://www.financefund.org
The Agora Center,"The Agora Center is dedicated to serving our community by identifying and responding to the needs of our neighbors, in order to foster a sense of community and cooperate with other individuals and agencies to provide that help.",http://www.agoracenter.com
The LAM Foundation,"The LAM Foundation provides support, education, and hope to women with Lymphangioleiomyomatosis (LAM), a progressive, debilitating lung disease. Our goals are to organize, marshal the forces of the scientific community, raise LAM from obscurity, and ...",http://www.thelamfoundation.org
PAWS Adoption Center,"PAWS is a non-profit no kill animal shelter which strives to provide suitable homes for abused,abandoned or neglected cats and dogs .",http://www.pawsadoptioncenter.org
Children's International Summer Villages Youngstown-Cleveland NE Ohio,"CISV evolved from a firm conviction that lasting peace is possible if individuals and groups can learn to live together as friends. For ClSV, the key to making this vision a reality was to start working with children and youth. Programs were develope...",http://www.youngstown.cisvusa.org
CHOICE,To provide women and families with safe options for childbirth,n/a
Cuyahoga Soil and Water Conservation District,"Promoting conservation of land and aquatic resources in a developed environment through stewardship initiatives, education programs and technical assistance.",http://www.cuyahogaswcd.org
Greene County Juvenile Court,"The Greene County Juvenile Court is committed to every child's right to grow up in a healthy, supportive, nurturing environment with caring and responsible adult guidance. The Court recognizes the each child possesses unique talents and skills and is...",n/a
Miamisburg City Schools,"The Mission of the Miamisburg School District is to unite the school community in nurturing success through: A Sense of Belonging, A meaningful and applicable, quality education, A commitment to lifelong learning, An attitude of respect and tolerance...",n/a
KONNECT,"To train and equip mentors and help mentees become successful adults in our communites. KONNECT- linking children of promise with caring, adult mentors.",http://www.soardc.org/konnect
Special Olympics Area 4,Provide person with developmental disabilities opportunities to train in compete in various sports.,n/a
Henry County Special Olympics,"To provide sports training and competition opportunities for athletes with mental retardation, ages 8 & up.",n/a
Far West Center Amherst,"To strengthen individuals, families and the community through culturally relevant behavioral healthcare services, advocacy and education.",n/a
ProMusica Chamber Orchestra,ProMusica Chamber Orchestra inspires the hearts and stimulates the minds of people of all ages through the power of outstanding musical performances and educational programs. ProMusica presents the best of traditional chamber orchestra repertoire and...,http://www.promusicacolumbus.org
MVRPC Senior Transportation Expansion Project,"The MVRPC is a forum and resource where regional partners identify priorities, develop public policy and implement collaborative strategies to improve the quality of life and economic vitality throughout the Miami Valley.",http://www.mvrpc.org
Our Lady of the Wayside,Our Lady of the Wayside enriches the lives of individuals who have mental retardation and developmental disabilities. We provide individuals and their families pathways to healthy and productive personal growth through professional care and guidance.,n/a
The Toledo Choral Society,The purpose of the Society is to contribute to the cultural development of Toledo and the surrounding area through the performance of significant choral music respresenting all forms of the art.,http://www.toledochoralsociety.org
Huff Run Watershed Restoration Partnership,"Our Mission: To restore the Huff Run Watershed by improving water quality and enhancing wildlife habitat, through community support and involvement.",http://www.huffrun.org
Community Care Network - Northeast Ohio Mentoring Scholarship Center,The Northeast Ohio Mentoring Scholarship Center (NOMSC) exists to promote the mentoring of vulnerable youth.,http://www.ccnworks.org
Lighthouse Christian Services,"""To heal the hurting and equip the healed.""",http://www.lighthousepathway.org
Wegerzyn Gardens MetroPark,"Five Rivers MetroParks is dedicated to the protection and stewardship of the greater Dayton area's natural and cultural heritage, and to provide outdoor recreational and educational opportunities. Wegerzyn Gardens MetroPark is one of 25 parks within ...",http://www.metroparks.org
"Canton Fine Arts Associates, Inc.","Canton Fine Arts, founded in 1952, is a service organization affiliated with the Canton Museum of Art. The group is comprised of women of all ages who express interest in the work of the Museum and their love of art through volunteerism.",n/a
The Sculpture Center,"The Sculpture Center fulfills its vision of making sculpture a part of the public discussion by promoting preservation of outdoor sculpture, exhibiting sculpture and educating artists and audience about the role of sculpture past and present.",http://www.sculpturecenter.org
The Madison Area youth Center Inc.,To provide an envirnoment for young people & community members in Madison County to gather.,n/a
Pauline Home Association,Our mission is to provide personal expense management services to seniro residents over 60 of Franklin County regardless of economic circumstances thereby enabling them to maintain an independent lifestyle.,n/a
"Muscular Dystrophy Association - Dayton, OH","MDA is a voluntary health organization. Almost all of its funding comes from private donations raised throughout the year. The Association receives no government funding; United Way funds or fees from those it serves. Adults, children and their famil...",n/a
The Heritage Center/Clark County Historical Society,"The mission of the clark County Historical Society is to collect, preserve, interpret and promote resources which provide understanding and appreciation of Clark County's Heritage, and to relate the community's past to the present and its future for ...",n/a
Sudden Infant Death Network of Ohio,"The mission of the Sudden Infant Death Network of Ohio is to work towards the reduction and eventual elimination of Sudden Infant Death Syndrome (SIDS) through a multidisciplinary approach of: the promotion of infant health and wellness, community ou...",http://www.sidsohio.org
Heart to Heart,"""Go out to all the world and tell the Good news, "" Mark 16:15.",n/a
Hamilton County Board of MR/DD,Supporting people with disabilities and their families to achieve what is important to them.,http://www.hamilton-co.org/mrdd
"Services for Independent Living, Inc. (SIL)","Services for Independent Living, Inc.'s (SIL's) mission is to provide services and advocacy which empower persons with disabilities to lead self-directed and productive lives in the community.",http://www.sil-oh.org
"Community Services of Stark County, Inc.","Community Services of Stark County shall serve all persons with dignity and respect. We shall empower individuals and families to enhance the quality of their lives through support, advocacy, training, and counseling.",n/a
Specialized Alternatives for Families & Youth of Ohio - Columbus Division,Fostering an enfironment that positively impacts the lives of youth and their families. . . . . whether they are with us for an hour or a lifetime.,http://www.safy.org
"Boy Scouts of America, Black Swamp Area Council","It is the mission of the Boy Scouts of America to serve others by helping to instill values in young people and, in other ways, to prepare them to make ethical choices during their lifetime to achieve their full potential. The values we strive to ins...",n/a
Shaker Family Center,"To nurture, educate and serve families with young children of all abilities",http://www.shakerfamilycenter.org
7 Days for SIDS,"Mission: To raise money for awareness and research towards the eradication of SIDS (Sudden Infant Death Syndrome), the number one cause of death of children from birth to one year; and to sustain the Tatiana de Cavel Scholarship Fund at the Midwest C...",http://www.7daysforsids.com
Safe Harbor Resources,Thwart sexual predators that infiltrate youth-serving groups.,http://www.safeharborresources.org
Contemporary American Theatre Company (CATCO),"The mission of CATCO, the Contemporary American Theatre Company, is to create a resident professional theatre that presents contemporary, classic and new work, with an emphasis on American work, for an audience as diverse as our community.",http://www.catco.org
The GriefCare Place,"To provide a safe place where those grieving the death of a loved one can find support, education, understanding, and a caring place to heal.",http://www.thegriefcareplace.org
Big Brothers & Sisters,"Helping children in need, reach their potential through professionally supported, one on one mentoring relationships with volunteers.",http://www.bbbswarren.org
Johnny Appleseed Metropolitan Park District,The Johnny Appleseed Metropolitan Park District is a comprehensive system of natural areas and preserves designed to enhance the quality of life of the citizens of Allen County by providing passive outdoor recreational and educational opportunities w...,n/a
FamiliesFORWARD,"FamiliesFORWARD provides services to help children develop the attitudes and behaviors necessary to become productive, independent and responsible citizens through a school-based, family centered program.",http://familiesforward.net
Portage County Visiting Nurse Service and Hospice,To improve the health and lives of our patients and community.,n/a
Interfaith Hospitality Network of Warren County,"To provide shelter, meals, hospitality and suppor for homeless families.",n/a
The Intergenerational School,The Intergenerational School fosters an educational community of excellence that provides experiences and skills for lifelong learning and spirited citizenship for learners of all ages.,http://www.TISonline.org
Dress for Success Cleveland,Dress for Success Clevleand provides interview appropraite clothing and empowers low-income women to enter and remain in the workplace.,http://www.dressforsuccess.org/cleveland
"Child Assault Prevention Project of Union County, Inc.",To develop programs for the strength of children and families through service and education and to be proactive in preventing the assault and neglect of children.,n/a
British American Chamber of Commerce-Great Lakes,"As a bilateral chamber of commerce, our mission includes the promotion and stimulation of transatlantic trade and commerce between the United States and the United Kingdom. We recognize the importance of trade with the U.K. in its wider role as a mem...",http://www.baccgl.org
Medina County Domestic Relations Court,"Medina County Domestic Relations Court exists to resolve legal cases involving divorce, dissolution, the care and support of children, and the protection of victims of domestic violence. The Court is obligated to help families in transition to resolv...",http://www.medinadomesticrelations.org
Medina County YMCA,"To put Christian principles into practice through programs that build healthy spirit, mind and body for all.",n/a
Elderly United of Springfield,"The mission of Elderly United of Springfield and Clark County, Ohio, Inc. is to enhance the lives of Clark County older adults by offering quality services that promote general well-being, independent living and socialization.",n/a
RSVP-Retired & Senior Volunteer Program,RSVP Mission: To engage men and women age 55 & over in meaningful volunteer service to strengthen the well being of both self and community.,n/a
Land Conservancy of Hamilton County Ohio,"Land Conservancy of Hamilton County Ohio (HCLC) is a non-profit, member-supported land trust that helps families preserve their lands and works to protect the natural diversity and unique character of Hamilton County for the benefit of present and fu...",http://www.LandConservancyHC.org
"Enhanced Life Styles Training Facility, Inc.",Enhanced Life Styles will attempt to place the person in life as close to where they would have been as if they didn't have their disability.,http://elstf.org
The Arsenal Group,"As the non-profit support organizaton of the Cultural Arts Center (CAC), The Arsenal Group's mission is to be a support system for the city of Columbus Recreation and Parks Department's Cultural Art Center by: helping to identify and access funding r...",http://culturalartscenteronline.org
ACTION OHIO Coalition For Battered Women,"ACTION OHIO's mission is to promote quality programs, services, and resources to survivors of domestic violence. Our goal is to ensure equal rights and empowerment for all individuals as we work toward the eradication of family violence in our societ...",http://www.actionohio.org
Foster Child Enrichment Council,The Foster Child Enrichment Council works to provide positive experiences that enhance the quality of life for abused and neglected children.,http://www.helpfosterchildren.org
United Way's Volunteer Connection,To improve lives by mobilizing the caring power of our community on behalf of our local health and human service network.,http://www.volunteerdayton.org
Avon Heritage Duct Tape Festival,"The Avon Heritage Duct Tape Festival is a committee-run non-profit festival that promotes fun, family and creativity.",http://www.avonducttapefestival.com
Cleveland Animal Protective League,"The Cleveland Animal Protective League rescues abused and neglected animals, offers shelter to homeless pets, and promotes compassionate and responsible guardianship. The Cleveland Animal Protective League is a progressive leader in animal welfare. W...",http://www.clevelandapl.org
International Institute of Greater Toledo,To provide professional immigration and interpretation services to people in Northwest Ohio and Southeast Michigan.,http://www.iitoledo.org
"Junior League of Dayton, Ohio, Inc","The Junior League of Dayton is an organization of women committed to promoting volunteerism, developing the potential of women and improving communities through the effective action and leadership of trained volunteers. Its purpose is exclusively edu...",n/a
Akron District Chapter MATHCOUNTS,The mission of MATHCOUNTS is to increase enthusiasm for and enhance achievement in middle school mathematics throughout the United States.,http://www.mathcounts.org
Blanchard Valley Chapter MATHCOUNTS,The mission of MATHCOUNTS is to increase enthusiasm for and enhance achievement in middle school mathematics throughout the United States.,http://www.mathcounts.org
Canton Regional Chapter MATHCOUNTS,The mission of MATHCOUNTS is to increase enthusiasm for and enhance achievement in middle school mathematics throughout the United States.,http://www.mathcounts.org
Cincinnati Chapter MATHCOUNTS,The mission of MATHCOUNTS is to increase enthusiasm for and enhance achievement in middle school mathematics throughout the United States.,http://www.mathcounts.org
Cleveland Chapter MATHCOUNTS,The mission of MATHCOUNTS is to increase enthusiasm for and enhance achievement in middle school mathematics throughout the United States.,http://www.mathcounts.org
Franklin County Chapter MATHCOUNTS,The mission of MATHCOUNTS is to increase enthusiasm for and enhance achievement in middle school mathematics throughout the United States.,http://www.mathcounts.org
Hocking Valley Region MATHCOUNTS,The mission of MATHCOUNTS is to increase enthusiasm for and enhance achievement in middle school mathematics throughout the United States.,http://www.mathcounts.org
Lima Chapter MATHCOUNTS,The mission of MATHCOUNTS is to increase enthusiasm for and enhance achievement in middle school mathematics throughout the United States.,http://www.mathcounts.org
Lorain Chapter MATHCOUNTS,The mission of MATHCOUNTS is to increase enthusiasm for and enhance achievement in middle school mathematics throughout the United States.,http://www.mathcounts.org
Mahoning Valley Chapter MATHCOUNTS,The mission of MATHCOUNTS is to increase enthusiasm for and enhance achievement in middle school mathematics throughout the United States.,http://www.mathcounts.org
North Central Chapter MATHCOUNTS,The mission of MATHCOUNTS is to increase enthusiasm for and enhance achievement in middle school mathematics throughout the United States.,http://www.mathcounts.org
Southern Ohio Chapter MATHCOUNTS,The mission of MATHCOUNTS is to increase enthusiasm for and enhance achievement in middle school mathematics throughout the United States.,http://www.mathcounts.org
Tuscarawas Valley Chapter MATHCOUNTS,The mission of MATHCOUNTS is to increase enthusiasm for and enhance achievement in middle school mathematics throughout the United States.,http://www.mathcounts.org
Toledo Chapter MATHCOUNTS,The mission of MATHCOUNTS is to increase enthusiasm for and enhance achievement in middle school mathematics throughout the United States.,http://www.mathcounts.org
Eastern Ohio Region MATHCOUNTS,The mission of MATHCOUNTS is to increase enthusiasm for and enhance achievement in middle school mathematics throughout the United States.,http://www.mathcounts.org
Ohio Dept. of MRDD,The mission of ODMR/DD is continuous improvement of the quality of life for Ohio's citizens with developmental disabilities and their families.,n/a
Ohio State MATHCOUNTS,The mission of MATHCOUNTS is to increase enthusiasm for and enhance achievement in middle school mathematics throughout the United States.,http://www.mathcounts.org
"Feed Lucas County Children, Inc",To serve at risk children a balanced meal and to provide educational activities during the summer when the need is actully the greatest,n/a
Toledo Ballet,"""The Toledo Ballet Association's primary purpose is to increase interest and support for the arts through dance. This is accomplished through community education, studio instruction, and major performances.""",n/a
Upper Township Volunteer Fire Department,To provide fire and rescue services to the people of Upper Township.,n/a
Muscular Dystrophy Association,"MDA is a non-profit health service organization that provides funds, support and service to our clients who have one or more of the nueromuscular diseases that is covered under the Muscular Dystrophy Association.",http://www.mdausa.org
Franklin County Dog Shelter,"The mission of the Franklin County Dog Shelter is to find responsible homes for our dogs, increase the number of reunionsof lost/impounded dogs with their owners, and make Franklin County a safe place for dogs and people to live.",n/a
Empowering Developing Educational Network (E.D.E.N),"To operate a five star after school program, that educates, empowers, and enriches the lives of each individual participant.",n/a
Supreme Court of Ohio - Bar Admissions,"The Supreme Court is established by Article IV, Section 1 of the Ohio Constitution. Article IV, Section 2 of the Constitution sets the size of the Court and outlines its jurisdiction. Article IV, Section 5 of the Constitution grants rule making and o...",n/a
Northern Ohio Breast Cancer Coalition Fund,"the Northern Ohio Breast Cancer Coalition Fund will work to inform, train and direct breast cancer patients and concerned others in knowledgeable and effective patient and research advocacy efforts at all levels. We recognize that the process of curi...",http://www.nobcc.org
Prison Fellowship,"Prison Fellowship Mission Statement To seek: the transformation of prisoners and their reconciliation to God, family, and community through the power and truth of Jesus Christ, and the transformation of believers as they apply biblical thinking to al...",http://www.pfm.org
Area Agency on Aging,Our organization is pleased to be a part of the CMS MedicareRx Volunteer Initiative to help people with Medicare get the assistance they may need to benefit from Medicare's new prescription drug coverage. Organizations and volunteers nationwide have ...,n/a
